Barcode Any Aliquot,Sample Barcode
05 61 0462,056104626101
05 61 0512,056105126101
26 01 0024,026010024U001
05 61 0467,056104676101
05 61 0424,056104246104
05 61 0449,056104496101
05 61 0359,056103596101
05 61 0463,056104636101
05 61 0519,056105196101
05 61 0432,056104326101
05 61 0555,056105556104
05 61 0171,056101716101
05 61 0154,056101546104
05 61 0095,056100956101
05 61 0006,056100066101
01 14 4929,01144929302
05 61 0505,056105056101
05 61 0195,056101956101
05 61 0387,056103876101
01 14 5383,01145383301
05 61 0042,056100426102
05 61 0116,056101166101
05 61 0322,056103226101
01 14 4727,01144727302
05 61 0100,056101006101
05 61 0149,056101496101
01 14 5276,01145276301
01 61 0589,1610589U01
05 01 0074,050100746106
01 61 0655,16106554301
05 61 0079,056100796101
05 01 0202,050102026101
01 14 4704,01144704302
05 61 0072,056100726103
01 14 4308,01144308302
01 14 4358,01144358302
01 14 4671,01144671301
01 01 8119,01018119301
05 61 0318,056103186101
01 01 8138,01018138301
05 61 0437,056104376101
05 01 0073,050100736101
01 14 4896,01144896302
05 61 0291,056102916101
05 61 0484,056104846105
01 14 4692,01144692302
05 61 0518,056105186102
05 61 0082,056100826101
05 61 0077,056100776101
05 61 0087,056100876101
05 61 0513,056105136105
05 61 0099,056100996101
05 61 0456,056104566101
05 61 0219,056102196101
05 61 0390,056103906105
05 61 0346,056103466101
05 61 0125,056101256101
05 61 0460,056104606101
05 61 0490,056104906105
05 61 0435,056104356101
05 61 0425,056104256101
05 61 0410,056104106101
05 61 0394,056103946105
05 61 0434,056104346101
05 61 0324,056103246110
05 61 0252,056102526101
05 01 0112,050101126104
05 01 0091,050100916101
05 61 0239,056102396101
05 61 0408,056104086101
05 61 0357,056103576101
05 61 0431,056104316101
05 61 0529,056105296101
05 61 0489,056104896104
05 01 0007,050100076101
05 01 0081,050100816106
05 01 0102,050101026101
05 01 0100,050101006109
05 01 0055,050100556101
05 01 0034,050100346109
05 01 0200,050102006101
05 01 0005,050100056101
05 01 0025,050100256106
05 01 0158,050101586109
05 01 0077,050100776101
05 01 0064,050100646101
05 01 0053,050100536101
05 01 0026,050100266101
05 01 0030,050100306106
05 01 0006,050100066101
05 01 0084,050100846101
05 01 0186,050101866106
05 01 0066,050100666101
05 01 0033,050100336101
01 61 0564,1610564301
05 01 0165,050101656101
05 01 0052,050100526101
05 01 0027,050100276101
05 01 0046,050100466104
05 61 0315,056103156101
05 61 0135,056101356101
05 01 0184,050101846109
05 01 0031,050100316101
05 61 0188,056101886101
05 61 0164,056101646101
01 61 0392,01610392301
05 61 0456,05610456303
01 01 4159,01014159301
01 01 4143,01014143301
01 71 0044,01710044301
01 01 8286,01018286301
05 61 0115,05610115302
01 01 8673,01018673301
01 01 4529,01014529301
01 14 2106,1142106302
05 61 0092,05610092303
01 61 0444,01610444301
01 01 4648,01014648301
05 61 0263,05610263301
05 61 0264,05610264301
01 01 8510,01018510301
01 01 4671,01014671301
01 61 0465,01610465301
01 01 8610,01018610301
26 02 0058,026020058000U001
26 01 0157,026010157000U001
01 01 8398,01018398302
05 01 0154,05010154306
05 61 0368,05610368309
05 61 0378,05610378306
01 14 5358,01145358301
01 71 0037,01710037301
01 71 0077,01710077301
01 71 0022,01710022301
01 71 0009,01710009302
01 14 5337,01145337301
01 61 0588,01610588301
01 61 0596,01610596304
01 61 0373,01610373301
01 61 0207,01610207301
01 61 0128,01610128306
01 61 0160,01610160301
01 61 0156,01610156301
26 01 0082,026010082000U001
01 61 0483,01610483301
01 61 0444,01610444303
05 01 0160,05010160308
01 61 0646,01610646301
05 01 0057,050100576106
05 01 0107,050101076106
05 01 0086,050100866104
05 01 0035,050100356106
05 01 0104,050101046101
05 01 0087,050100876101
05 61 0163,056101636101
05 61 0094,056100946101
05 61 0409,056104096101
05 61 0242,056102426101
05 61 0414,056104146101
05 61 0047,056100476101
05 61 0316,056103166101
05 61 0407,056104076101
05 61 0054,056100546101
05 01 0128,050101286101
05 01 0058,050100586101
05 01 0070,050100706101
05 01 0059,050100596101
05 01 0038,050100386106
05 01 0022,050100226101
05 01 0037,050100376106
05 01 0016,050100166106
05 01 0010,050100106104
05 01 0069,050100696106
05 01 0118,050101186101
05 01 0133,050101336104
05 01 0009,050100096101
05 01 0179,050101796101
05 01 0092,050100926104
05 01 0021,050100216106
05 01 0159,050101596101
05 01 0024,050100246106
05 01 0115,050101156101
05 01 0023,050100236106
05 61 0189,056101896101
05 61 0179,056101796101
05 61 0193,056101936101
05 61 0371,056103716101
05 61 0201,056102016101
05 01 0131,050101316106
05 01 0089,050100896104
05 61 0404,056104046104
05 61 0147,056101476104
05 61 0369,056103696101
05 61 0353,056103536101
05 61 0182,056101826106
05 61 0488,056104886105
05 01 0042,050100426101
05 01 0018,050100186101
05 61 0453,056104536101
05 61 0271,056102716101
05 61 0197,056101976102
05 61 0034,056100346106
05 61 0051,056100516104
05 61 0184,056101846106
05 61 0141,056101416110
05 61 0248,056102486101
26 01 0097,TB026010097U001
01 01 8081,01018081301
26 01 0145,TB026010145U001
26 01 0030,TB026010030U001
26 01 0056,TB026010056U001
26 01 0058,TB026010058U001
26 01 0120,TB026010120U001
01 01 8002,01018002301
01 61 0401,01610401301
01 61 0239,01610239301
01 61 0238,01610238301
01 61 0243,01610243301
01 71 0009,01710009301
01 14 2034,01142034304
01 14 2057,01142057302
01 14 2047,01142047302
01 71 0017,01710017301
01 14 2067,01142067304
05 61 0460,05610460302
05 61 0458,05610458302
05 61 0453,05610453303
01 61 0405,01610405301
01 71 0030,01710030301
01 01 4262,01014262301
01 01 4146,01014146301
05 61 0042,05610042303
05 61 0040,05610040303
01 01 8275,01018275301
01 01 8239,01018239301
01 01 4486,01014486301
05 61 0149,05610149303
05 61 0036,05610036303
05 61 0034,05610034303
01 01 8698,01018698301
01 01 8674,01018674301
01 01 8398,01018398301
01 01 4488,01014488301
01 61 0142,01610142301
01 01 8268,1018268301
01 01 8279,1018279301
01 01 8374,1018374301
01 14 2009,1142009304
01 14 2081,1142081302
01 61 0284,1610284301
01 61 0393,1610393301
01 61 0400,1610400301
01 61 0411,1610411301
01 61 0437,01610437301
01 61 0436,01610436301
01 14 2125,01142125301
01 14 2130,01142130301
01 14 4006,01144006301
05 61 0136,05610136303
01 61 0463,01610463301
01 61 0462,01610462301
01 61 0441,01610441301
01 71 0051,01710051301
01 01 4661,01014661301
01 01 4667,01014667301
01 14 4072,01144072301
01 14 4082,01144082301
01 71 0081,01710081301
01 01 8571,01018571301
01 01 8514,01018514301
01 01 8502,01018502301
01 01 8480,01018480301
01 01 4754,01014754301
05 61 0429,05610429304
05 61 0382,05610382302
05 61 0425,05610425302
05 61 0424,05610424303
05 61 0422,05610422304
05 61 0294,05610294301
01 14 4130,01144130301
01 14 4216,01144216301
01 61 0148,01610148301
01 61 0402,01610402301
01 14 2013,01142013304
01 01 8279,01018279302
01 01 8700,01018700301
05 61 0460,05610460304
05 61 0390,05610390306
05 61 0352,05610352301
05 01 0123,05010123306
05 01 0093,05010093305
05 01 0064,05010064304
05 61 0384,05610384307
05 61 0357,05610357301
05 61 0289,05610289306
01 14 5190,01145190301
01 14 5253,01145253301
01 71 0029,01710029301
01 71 0058,01710058301
01 71 0012,01710012301
01 71 0002,01710002301
01 71 0051,01710051302
01 71 0081,01710081302
01 01 8070,01018070302
01 14 4391,01144391302
01 14 4366,01144366302
01 14 4953,01144953302
01 61 0523,01610523301
01 61 0632,01610632301
01 61 0616,01610616301
01 61 0574,01610574301
05 61 0336,05610336315
05 61 0313,05610313303
05 61 0312,05610312308
01 71 0033,01710033301
26 01 0027,TB0260100270003001
26 01 0136,TB0260101360003001
26 01 0070,TB0260100700003001
26 02 0032,TB0260200320003001
01 61 0521,01610521301
01 61 0547,01610547304
01 61 0393,01610393303
01 61 0724,01610724301
01 61 0113,01610113301
01 61 0107,01610107301
01 61 0100,01610100301
01 61 0064,01610064301
01 61 0269,01610269301
01 61 0230,01610230305
01 61 0299,01610299301
01 61 0149,01610149301
05 01 0153,5010153306
26 01 0160,TB0260101600003001
26 01 0082,TB0260100820003001
01 61 0492,01610492301
01 61 0475,01610475301
01 61 0411,01610411302
01 61 0400,01610400302
01 61 0279,1610279301
01 61 0462,01610462302
01 61 0452,01610452301
01 61 0602,01610602301
01 61 0727,01610727301
01 61 0736,01610736301
05 61 0425,05610425304
01 61 0465,1610465303
01 61 0791,01610791302
01 61 0783,01610783301
01 61 0755,01610755301
01 61 0693,01610693302
